# python=3.12.3
# platform=Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.39
# cpu=Intel(R) Core(TM) i5-14400F
# governor=WSL, governor uncontrolled
# cryptography=45.0.7
# blspy=2.0.3
# cbor2=5.8.0
# msgpack=1.2.1
# run=ns3_delay
# config_hash=a39b806d40c9a9af
n_nodes,frames_per_s,lambda_rec_per_s,frame_bytes,channel_util,delivered_frac,delivered_min,delivered_max,delivered_stdev,seeds_failing_v,delay_mean_stdev_ms,delay_mean_ms,delay_p50_ms,delay_p95_ms,delay_p99_ms,delay_max_ms,model_non_fill_ms,access_delay_ms,pct_of_250ms_budget,seeds
50,1,4,288,0.1115,0.99986,0.99579,1.0,0.00077,0,0.0071,0.4986,0.49,0.5085,0.7685,0.8084,0.4902,0.0084,0.199,30
50,2,8,288,0.223,0.99959,0.9959,1.0,0.00102,0,0.0115,0.5081,0.49,0.601,0.9242,0.9828,0.4905,0.0176,0.203,30
50,3,12,288,0.3345,0.99906,0.99458,1.0,0.0016,0,0.0168,0.5173,0.49,0.7052,1.02,1.1187,0.4907,0.0266,0.207,30
50,5,20,288,0.5575,0.99529,0.95374,1.0,0.01107,0,0.0232,0.5368,0.49,0.857,1.1455,1.3286,0.4912,0.0456,0.215,30
50,7,28,288,0.7805,0.99144,0.94345,1.0,0.01486,1,0.0278,0.5578,0.49,0.9414,1.284,1.5383,0.4917,0.0661,0.223,30
50,9,36,288,1.0034,0.98896,0.94492,1.0,0.01532,1,0.034,0.581,0.49,1.0198,1.4443,1.7414,0.4922,0.0889,0.232,30
50,12,48,288,1.3379,0.98435,0.93925,0.99925,0.01508,1,0.0419,0.6185,0.49,1.1461,1.6617,2.006,0.4929,0.1256,0.247,30
50,15,60,288,1.6724,0.97814,0.94421,0.99639,0.01401,1,0.0459,0.6617,0.49,1.3123,1.8781,2.5282,0.4936,0.168,0.265,30
50,20,80,288,2.2299,0.96246,0.92842,0.99378,0.01763,10,0.0625,0.756,0.5131,1.6648,2.3977,3.4907,0.4948,0.2611,0.302,30
50,30,120,288,3.3448,0.89479,0.82494,0.94367,0.0318,30,0.1065,1.0132,0.7698,2.5149,3.4591,5.4457,0.4973,0.5159,0.405,30
50,40,160,288,4.4598,0.78068,0.70496,0.84425,0.04016,30,0.1171,1.4425,1.0135,3.6843,4.8303,7.4789,0.4998,0.9428,0.577,30
50,60,240,288,6.6896,0.42267,0.41894,0.43058,0.00262,30,0.0533,2.6848,2.117,6.5518,7.9757,11.4201,0.5048,2.18,1.074,30
